tên_xe,giá,năm_sản_xuất,kiểu_dáng,tình_trạng,xuất_xứ,số_km_đã_đi,tỉnh_thành,hộp_số,nhiên_liệu
Lexus Rx 350 2019,26500000000,2019,Na,Tình Trạng Xe Cũ,Nhập Khẩu,43000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Hyundai Grand I10 2015,1290000000,2015,Kiểu Dáng Hatchback,Tình Trạng Xe Cũ,Nhập Khẩu,98000,"Tỉnh Thành
Hà Nội",Hộp Số Số Sàn,Nhiên Liệu Máy Xăng
Suzuki Swift Gl 1.2 Cvt 2019,3700000000,2019,Kiểu Dáng Hatchback,Tình Trạng Xe Cũ,Trong Nước,100000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Mg Zs 1.5 2Wd Lux+ 2025,5250000000,2025,Kiểu Dáng Crossover,Tình Trạng Xe Cũ,Nhập Khẩu,1000,"Tỉnh Thành
Cần Thơ",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Volkswagen Viloran Premium 2023,17380000000,2023,Kiểu Dáng Mpv,Tình Trạng Xe Cũ,Nhập Khẩu,32000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Honda Cr-V 1.5 G 2022,8100000000,2022,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Nhập Khẩu,52000,"Tỉnh Thành
Bình Dương",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Toyota Vios 1.5E Mt 2020,3200000000,2020,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Nhập Khẩu,47000,"Tỉnh Thành
Kiên Giang",Hộp Số Số Sàn,Nhiên Liệu Máy Xăng
Mitsubishi Xpander 1.5 Mt 2020,3850000000,2020,Kiểu Dáng Mpv,Tình Trạng Xe Cũ,Nhập Khẩu,54000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Sàn,Nhiên Liệu Máy Xăng
Toyota Innova 2016,3300000000,2016,Kiểu Dáng Mpv,Tình Trạng Xe Cũ,Trong Nước,140000,"Tỉnh Thành
Đà Nẵng",Hộp Số Số Sàn,Nhiên Liệu Máy Xăng
Kia Seltos 1.4 Premium 2022,5900000000,2022,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Trong Nước,77000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Ford Everest Titanium 2.2L 4X2 At 2016,5700000000,2016,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Nhập Khẩu,130000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Dầu
Kia Sorento 2Wd 2.2 Dath 2014,4250000000,2014,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Nhập Khẩu,140000,"Tỉnh Thành
Đắk Nông",Hộp Số Số Tự Động,Nhiên Liệu Máy Dầu
Lexus Rx 350 2013,9300000000,2013,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Nhập Khẩu,79000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Hyundai Grand I10 Sedan 1.2 Mt 2019,2200000000,2019,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Trong Nước,111111,"Tỉnh Thành
Lâm Đồng",Hộp Số Số Sàn,Nhiên Liệu Máy Xăng
Hyundai Accent 1.5 At 2024,4550000000,2024,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Trong Nước,31000,"Tỉnh Thành
Cần Thơ",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Toyota Zace 2005,1250000000,2005,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Trong Nước,12000,"Tỉnh Thành
Hà Nội",Hộp Số Số Sàn,Nhiên Liệu Máy Xăng
Mazda 3 Sedan 1.5L Luxury 2021,5500000000,2021,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Trong Nước,120000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Hyundai Santa Fe 2021,10200000000,2021,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Khác,33000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Mercedes-Benz C300 Amg 2019,10680000000,2019,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Nhập Khẩu,1,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Mg Zs 1.5L Lux+ 2025,5250000000,2025,Kiểu Dáng Crossover,Tình Trạng Xe Cũ,Nhập Khẩu,5000,"Tỉnh Thành
Cần Thơ",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Mitsubishi Grandis 2.4 Mivec 2009,2720000000,2009,Kiểu Dáng Mpv,Tình Trạng Xe Cũ,Trong Nước,110000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Mitsubishi Xpander 1.5 Mt 2019,3400000000,2019,Kiểu Dáng Crossover,Tình Trạng Xe Cũ,Nhập Khẩu,170000,"Tỉnh Thành
Hà Nội",Hộp Số Số Sàn,Nhiên Liệu Máy Xăng
Toyota Fortuner 2.7 V 4X2 At 2019,7500000000,2019,Kiểu Dáng Mpv,Tình Trạng Xe Cũ,Nhập Khẩu,8000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Nissan X Trail 2.5 Sv 4Wd 2016,4750000000,2016,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Trong Nước,8000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Toyota Innova 2.0E 2017,3950000000,2017,Kiểu Dáng Mpv,Tình Trạng Xe Cũ,Trong Nước,120000,"Tỉnh Thành
Hải Phòng",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
